TargetTitle	Length	ratio	Source place	Target place	Analysis text	Target text
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	10	0.8	413	356926	舂陵節侯買生鬱林太守	舂陵節侯鬱林太守鉅鹿
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	14	0.9285714285714286	706	341675	言劉秀當爲天子或曰是國師公劉	言劉秀當為天子或曰是國師公劉
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	21	0.8571428571428571	900	341757	興南陽宗室獨有劉伯昇兄弟汎愛衆可以謀大事通	興南陽宗室獨劉伯升兄弟汎愛容衆可與謀大事通
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	13	0.9230769230769231	1494	341098	將軍計莫若先據大郡鎮撫吏士	將軍計莫若屯據大郡鎮撫吏士
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	10	0.8	1525	341111	興社稷之計除萬民之害	興社稷之利除萬人之害
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	22	0.9545454545454546	1720	340971	恐其衆與莽兵亂乃皆朱眉以相識别由是號曰赤眉赤	恐其衆與莽兵亂乃皆朱其眉以相識别由是號曰赤眉
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	10	1.0	1747	341039	等衆數萬人在梁郡匡丹	等衆數萬人在梁郡匡丹
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	56	0.875	2399	341809	縯召諸豪傑計議曰王莽暴虐百姓分崩今枯旱連季兵革竝起此亦天亡之時復髙祖之業定萬世之秋也衆皆然之於是分遣親客使鄧晨起	縯召諸豪傑計議曰王莽暴虐百姓分崩今枯旱連年兵革並起此亦天亡之時復髙祖之業定萬世之秋也衆皆然之乃分遣親客于諸縣起兵
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	10	0.8	2469	341866	自發舂陵子弟諸家子弟	自發舂陵子弟子弟懼皆
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	26	0.8461538461538461	2489	341881	殺我及見世祖絳衣大冠皆驚曰謹厚者亦復爲之乃稍自安凢得	殺我及見秀絳衣大冠皆驚曰謹厚者亦復為之乃稍自安凡得七
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	14	0.9285714285714286	2517	341906	七八千人部署賓客自稱柱天都部	七八千人部署賔客自稱柱天都部
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	12	0.9166666666666666	2538	341942	新市平林兵與其帥王鳳陳牧	新市平林兵與其帥王鳯陳牧
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	12	1.0	2563	341961	牛殺新野尉乃得馬進屠唐子	牛殺新野尉乃得馬進屠唐子
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	10	0.8	2669	342341	十一月有星孛于張東南	十一月有星孛于張張六
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	29	0.8275862068965517	2960	342560	莽未滅而宗室相攻是疑天下而自損權非所以破莽之道也且首兵唱號	莽未滅而宗室相攻是疑天下而自損權非所以破莽也不如且稱王以號
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	12	0.9166666666666666	3053	342591	赤眉所立者賢相率而往從之	赤眉所立者賢相率而徃從之
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	22	0.9545454545454546	3072	342604	無所立破莽降赤眉然後舉尊號亦未晚也諸將多曰善	無所立破莽降赤眉然後舉尊號亦未晩也諸將多曰善
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	14	1.0	3107	342631	地曰疑事無功今日之議不得有二	地曰疑事無功今日之議不得有二
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	10	0.8	3713	342830	司徒王尋大司空王邑將	司徒王尋司空王邑大發
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	10	0.8	3833	342979	守妻子財物耶諸將怒曰	守妻子財物邪諸將怒㑹
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	11	0.8181818181818182	3940	343026	王常守昆陽夜與宗佻李軼	王常守昆陽夜與李軼等十
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	10	0.8	4036	343107	之聲聞數十里或爲地窟	之聲聞數十里或為地道
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	21	0.9047619047619048	4156	343194	珍寳萬倍大功可成如爲所敗身首無餘何財物之有	珍寳萬倍大功可成如為所敗首領無餘何財物之有
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	34	0.8235294117647058	4234	343248	斬首數十級諸將喜曰劉將軍平生見小敵怯今見大敵勇甚可怪世祖復進諸將乘之	斬首數十級諸將喜曰劉將軍平生見小敵怯今見大敵勇甚可怪也且復居前請助將
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	11	0.8181818181818182	4266	343293	乘之斬首數百級連戰輒勝	乘之斬首數百千級連勝遂
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	10	0.9	4332	349389	守是其節也舉大事當表	守是其節也今舉大事當
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	11	0.8181818181818182	4505	343452	連月不盡或焚燒其餘於是	連月不盡或燔燒其餘于是
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	10	0.9	4579	343794	破虜大將軍封武信侯秋	破虜大將軍封武信侯莽
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	19	0.9473684210526315	5306	344054	分遣諸將徇隴西武都金城武威張掖酒泉燉煌	分遣諸將徇隴西武都金城武威張掖酒泉敦煌
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	14	0.8571428571428571	5325	344077	皆下之公孫述字子陽茂陵人成帝	皆下之公孫述字子陽扶風茂陵人
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	32	0.84375	5409	344175	曰天下同苦新室思劉氏矣故聞漢將軍至馳迎道路今百姓無辜父子俘獲室家	曰天下同苦新室思劉氏乆矣故聞漢將軍到馳迎道路今百姓無辜而婦子係獲
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	10	0.8	5579	345532	人漢兵起歩亦聚衆千餘	人漢兵起步亦聚衆數千
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	10	0.9	6036	345886	不御酒肉被席有涕泣處	不御酒肉枕席有涕泣處
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	10	0.8	6280	345720	明公威德加於海内禹得	明公威德加于四海禹得
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	10	1.0	6899	347949	賈復字君文南陽冠軍人	賈復字君文南陽冠軍人
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	27	0.8888888888888888	7090	347971	所保所保得無不可保乎嘉曰公言大非吾任也大司馬劉公在河北	所保所保得無不可保乎嘉曰卿言大非吾任也大司馬在河北必能
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	10	1.0	7150	348008	陳俊字子昭南陽西鄂人	陳俊字子昭南陽西鄂人
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	10	0.9	7336	346128	與趙國大豪李育張參先	與趙國大豪李育張參等
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	10	0.8	7489	346170	聖公未知故且持帝號今	聖公未知且持帝號翟義
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	10	0.9	7635	346354	弇時年二十一矣至宋子	弇時年二十一至宋子漢
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	16	0.875	7860	346446	弇曰今兵從南方來不可南行上谷太守	弇曰今兵從南方來不可南行漁陽太守
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	10	0.9	7878	346458	漁陽太守彭寵公邑人也	漁陽太守彭寵公邑人彭
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	10	0.9	7936	346573	指弇曰是我北道主人公	指弇曰是我北道主人也
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	10	0.9	8195	347270	長安城守去此八十里乃	長安城守去此八十里秀
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	10	0.8	8527	347375	言可因信都兵自送入關	言可因信都兵自送西還
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	10	0.9	8634	347419	之固明公奮二郡之兵揚	之固明公奮二郡之兵以
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	10	0.9	8691	347465	無征伐之計則雖信都之	無征伐之意則雖信都之
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	16	0.875	8705	347479	也何者明公西則邯鄲和成民不肯捐棄	也何者明公既西則邯鄲勢成民不肯捐
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	10	0.8	9120	346665	視諸將後至者更始勞之	視諸將後至者更始間虜
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	10	0.8	10221	350207	大司馬更始遣李松蘇茂	大司馬更始遣李松擊破
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	11	0.9090909090909091	10257	346267	國曰先降者復爵位上谷太	國曰先降者復爵位至上谷
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	10	1.0	10280	346288	無還意功曹冦恂勒兵入	無還意功曹冦恂勒兵入
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	10	0.8	10458	346338	恂字子翼上谷北平人也	恂字子翼上谷昌平人遣
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	10	1.0	10821	348321	及廣阿聞城中車騎甚衆	及廣阿聞城中車騎甚衆
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	10	0.8	10838	348334	何兵曰大司馬公也時王	何兵曰大司馬劉公也諸
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	12	0.8333333333333334	10938	348372	城下具言發兵狀公廼悉召入	城下具言發兵狀秀乃悉召入
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	57	0.9122807017543859	10951	348385	曰邯鄲將帥數言我發漁陽上谷兵吾聊應一言我亦發之何意二郡良爲吾來方與士大夫共此功名耳乃皆以爲偏將軍加況寵大將軍封列侯	曰邯鄲將帥數言我發漁陽上谷兵吾聊應言我亦發之何意二郡良為吾來方與士大夫共此功名耳乃以丹等為偏將軍加况寵大將軍封列侯
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	10	0.8	11054	348443	更始遣尚書令謝躬率六	更始遣尚書令謝躬字子
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	10	0.8	11062	348457	率六將軍討王郞不能下	率六將軍討郎不能下秀
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	23	0.8260869565217391	11396	348506	邯鄲若王郎巳誅鉅鹿不戰自服矣公從之夏四月攻邯鄲	邯鄲若王郎已誅鉅鹿不戰自服矣秀從之四月進軍邯鄲
KR2b0037 御批歷代通鑑輯覽-清-高宗弘曆	18	0.8333333333333334	11438	348548	曰設使成帝復生天下亦不可得也況詐子輿	曰設使成帝復生天下不可得况詐子輿乎威
