TargetTitle	Length	ratio	Source place	Target place	Analysis text	Target text
KR2b0003 前漢紀-漢-荀悅	13	0.8461538461538461	8818	82911	兩十六兩為斤三十斤為鈞四鈞	兩十六兩爲斤三十斤爲鈞四鈞
KR2b0003 前漢紀-漢-荀悅	11	0.9090909090909091	18223	178197	曰咨爾舜天之厯數在爾躬	曰咨爾舜天之曆數在爾躬
KR2b0003 前漢紀-漢-荀悅	10	0.8	22459	42261	三載考績三考黜陟幽明	三載考績三考黜陟九年
KR2b0003 前漢紀-漢-荀悅	10	1.0	22459	138396	三載考績三考黜陟幽明	三載考績三考黜陟幽明
KR2b0003 前漢紀-漢-荀悅	10	0.8	23779	27166	擊石拊石百獸率舞庶尹	擊石拊石百獸率舞至於
KR2b0003 前漢紀-漢-荀悅	10	0.9	23897	167347	曰元首明哉股肱良哉庶	曰元首明哉股肱良哉以
KR2b0003 前漢紀-漢-荀悅	10	0.8	24377	99354	與其殺不辜寜失不經好	與其殺不辜寧失不經今
KR2b0003 前漢紀-漢-荀悅	26	0.9230769230769231	35765	166360	三昭三穆與太祖之廟而七諸侯五廟二昭二穆與太祖之廟而五	三昭三穆與太祖之廟而七諸侯二昭二穆與太祖之廟而五是故
KR2b0003 前漢紀-漢-荀悅	10	0.9	35834	137067	天子祭天下名山大川五	天子祭天下名山大川懷
KR2b0003 前漢紀-漢-荀悅	20	0.85	35843	137084	五嶽視三公四瀆視諸侯諸侯祭名山大川之在其	五嶽視三公四瀆視諸侯諸侯祭其疆内名山大川
KR2b0003 前漢紀-漢-荀悅	19	0.8421052631578947	35844	137085	嶽視三公四瀆視諸侯諸侯祭名山大川之在其	嶽視三公四瀆視諸侯諸侯祭其疆内名山大川
KR2b0003 前漢紀-漢-荀悅	10	0.8	46154	147409	曰惟先格王正厥事乃訓	曰惟先格王正厥事皇后
KR2b0003 前漢紀-漢-荀悅	10	0.8	46353	18188	天無二日土無二王國無	天無二日土無二王皇帝
KR2b0003 前漢紀-漢-荀悅	10	0.8	48288	41701	一夫一婦受田百畆為一	一夫一婦受私田百畆公
KR2b0003 前漢紀-漢-荀悅	13	1.0	56371	178094	上帝臨下有赫監觀四方求民之	上帝臨下有赫監觀四方求民之
KR2b0003 前漢紀-漢-荀悅	13	0.9230769230769231	57368	25104	刑于寡妻至于兄弟以御於家邦	刑于寡妻至于兄弟以御于家邦
KR2b0003 前漢紀-漢-荀悅	10	0.9	64866	35955	謹權量審法度修廢官興	謹權量審法度修廢官四
KR2b0003 前漢紀-漢-荀悅	11	0.8181818181818182	67006	117262	思皇多士生此王國王國克	思皇多士生此王國故聖王
KR2b0003 前漢紀-漢-荀悅	10	0.8	67022	117440	濟濟多士文王以寧穆穆	濟濟多士文王以寧信乎
KR2b0003 前漢紀-漢-荀悅	10	0.8	67063	173109	侯服于周天命靡常殷士	侯服于周天命靡常封爾
KR2b0003 前漢紀-漢-荀悅	10	0.8	67145	31433	上天之載無聲無臭儀刑	上天之載無聲無臭其詳
KR2b0003 前漢紀-漢-荀悅	10	0.8	69129	105258	文王作罰刑兹無赦不率	文王作罰刑兹無赦今吏
KR2b0003 前漢紀-漢-荀悅	10	0.9	70593	138550	曰嚮用五福威用六極一	曰嚮用五福威用六極傳
KR2b0003 前漢紀-漢-荀悅	37	1.0	70603	25311	五行一曰水二曰火三曰木四曰金五曰土水曰潤下火曰炎上木曰曲直金曰從革土爰稼穡	五行一曰水二曰火三曰木四曰金五曰土水曰潤下火曰炎上木曰曲直金曰從革土爰稼穡
KR2b0003 前漢紀-漢-荀悅	23	0.8695652173913043	70661	25446	五事一曰貌二曰言三曰視四曰聽五曰思貌曰恭言曰從	五事一曰貌二曰言三曰視四曰聽五曰思水爲貌貌曰恭
KR2b0003 前漢紀-漢-荀悅	13	0.8461538461538461	71421	31256	星有好風星有好雨日月之行則	星有好風星有好雨月之從星則
KR2b0003 前漢紀-漢-荀悅	10	0.8	71438	31264	月之從星則以風雨九五	月之從星則以風雨詩云
KR2b0003 前漢紀-漢-荀悅	10	0.8	72499	103562	太傅在前少傅在後入則	太傅在前少傅在後朝廷
KR2b0003 前漢紀-漢-荀悅	12	0.9166666666666666	76497	41986	同我婦子饁彼南畝田畯至喜	同我婦子饁彼南畆田畯至喜
KR2b0003 前漢紀-漢-荀悅	10	0.8	79080	117252	飛龍在天利見大人正位	飛龍在天利見大人詩曰
KR2b0003 前漢紀-漢-荀悅	10	0.8	81827	102309	帝乙歸妹以祉元吉五能	帝乙歸妹以祉元吉春秋
KR2b0003 前漢紀-漢-荀悅	10	0.9	94521	69694	鼎折足覆公餗其形渥凶	鼎折足覆公餗其刑渥凶
KR2b0003 前漢紀-漢-荀悅	17	0.8823529411764706	97416	147226	鳥焚其巢旅人先笑後號咷䘮牛于易凶在	鳥焚其巢旅人先笑而後號咷䘮牛於易凶
